"Duration","Amplitude","Type"
"149.6","25","ROCKFALL"
"80.6","5","ROCKFALL"
"78","12","ROCKFALL"
"140.68","25","ROCKFALL"
"12.04","4","LF"
"8.36","3","LF"
"53.4","4","ROCKFALL"
"136.92","20","ROCKFALL"
"98.68","10","ROCKFALL"
"29.6","4","ROCKFALL"
"129.52","15","ROCKFALL"
"71.48","4","ROCKFALL"
"77.48","20","ROCKFALL"
"9.52","3","LF"
"73.04","6","ROCKFALL"
"88.4","8","ROCKFALL"
"56.84","5","ROCKFALL"
"8.08","4","MP"
"97.52","12","ROCKFALL"
"75.48","6","ROCKFALL"
"129.64","8","ROCKFALL"
"123.48","4","ROCKFALL"
"94.64","5","ROCKFALL"
"137.84","6","ROCKFALL"
"7.36","3","LF"
"83.68","5","ROCKFALL"
"136.92","5","ROCKFALL"
"9.76","4","LF"
"91.16","8","ROCKFALL"
"103.12","4","ROCKFALL"
"63.88","3","ROCKFALL"
"41.72","3","ROCKFALL"
"100.44","6","ROCKFALL"
"60.16","4","ROCKFALL"
"78.92","3","ROCKFALL"
"62.36","3","ROCKFALL"
"54.12","3","ROCKFALL"
"94.96","7","ROCKFALL"
"55.12","3","ROCKFALL"
"101.48","7","ROCKFALL"
"88.2","3","ROCKFALL"
